0:0:0:0:0:0:0:1 - - [18/Jun/2021:22:42:14 -0400] "GET /atm-ui/resources/js-jsx/view/FakeCheck.jsx HTTP/1.1" 200 1129
0:0:0:0:0:0:0:1 - - [18/Jun/2021:22:42:14 -0400] "GET /atm-ui/resources/js-jsx/view/BillForm.jsx HTTP/1.1" 200 2348
0:0:0:0:0:0:0:1 - - [18/Jun/2021:22:42:14 -0400] "GET /atm-ui/resources/js-jsx/view/NewAccountForm.jsx HTTP/1.1" 200 746
0:0:0:0:0:0:0:1 - - [18/Jun/2021:22:42:14 -0400] "GET /atm-ui/resources/js-jsx/model/BankingModel.jsx HTTP/1.1" 200 562
0:0:0:0:0:0:0:1 - - [18/Jun/2021:22:42:14 -0400] "GET /atm-ui/resources/js-jsx/controller/LoginController.jsx HTTP/1.1" 200 3803
0:0:0:0:0:0:0:1 - - [18/Jun/2021:22:42:14 -0400] "GET /atm-ui/resources/js-jsx/controller/TransferController.jsx HTTP/1.1" 200 511
0:0:0:0:0:0:0:1 - - [18/Jun/2021:22:42:14 -0400] "GET /atm-ui/resources/js-jsx/controller/AccountInfoBoxController.jsx HTTP/1.1" 200 1257
0:0:0:0:0:0:0:1 - - [18/Jun/2021:22:42:14 -0400] "GET /atm-ui/resources/js-jsx/controller/BankingAreaController.jsx HTTP/1.1" 200 17391
0:0:0:0:0:0:0:1 - - [18/Jun/2021:22:42:14 -0400] "GET /atm-ui/resources/images/ice-sunset.png HTTP/1.1" 200 898515
0:0:0:0:0:0:0:1 - - [18/Jun/2021:22:42:14 -0400] "GET /atm-ui/resources/sound/Penguins.m4a HTTP/1.1" 206 10915
0:0:0:0:0:0:0:1 - - [18/Jun/2021:22:42:14 -0400] "GET /atm-ui/resources/images/penguin-blue.png HTTP/1.1" 200 688
0:0:0:0:0:0:0:1 - - [18/Jun/2021:22:42:15 -0400] "GET /atm-ui/resources/images/antarctica-symbol.png HTTP/1.1" 200 15534
0:0:0:0:0:0:0:1 - - [18/Jun/2021:22:42:25 -0400] "GET /atm-ui/resources/images/penguin-family2.png HTTP/1.1" 200 3216014
0:0:0:0:0:0:0:1 - - [18/Jun/2021:22:42:36 -0400] "GET /atm-ui/resources/images/cute-seals.png HTTP/1.1" 200 1156920
0:0:0:0:0:0:0:1 - - [18/Jun/2021:22:42:47 -0400] "GET /atm-ui/resources/images/iceberg.png HTTP/1.1" 200 956913
0:0:0:0:0:0:0:1 - - [18/Jun/2021:22:42:58 -0400] "GET /atm-ui/resources/images/ice-sunset.png HTTP/1.1" 200 898515
0:0:0:0:0:0:0:1 - - [18/Jun/2021:22:43:03 -0400] "GET /atm-api/users/michael HTTP/1.1" 200 62
0:0:0:0:0:0:0:1 - - [18/Jun/2021:22:43:04 -0400] "GET /atm-ui/resources/images/transfer-arrows.png HTTP/1.1" 200 597
0:0:0:0:0:0:0:1 - - [18/Jun/2021:22:43:04 -0400] "GET /atm-ui/resources/images/penguin-white.png HTTP/1.1" 200 1575
0:0:0:0:0:0:0:1 - - [18/Jun/2021:22:43:04 -0400] "GET /atm-api/accounts/111222 HTTP/1.1" 200 1268
0:0:0:0:0:0:0:1 - - [18/Jun/2021:22:43:04 -0400] "GET /atm-api/accounts/654321 HTTP/1.1" 200 1215
